             MM4.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     251.804    4764.325     -72.044      42.993
     331.969    4742.998     -71.055      42.823
     412.071    4721.630     -70.072      42.644
     273.191    4844.193     -71.815      43.718
     353.409    4822.838     -70.814      43.546
     433.511    4801.465     -69.820      43.365
     294.649    4924.216     -71.580      44.444
     374.886    4902.734     -70.567      44.269
     455.038    4881.367     -69.561      44.086
     316.145    5004.174     -71.339      45.169
     396.373    4982.690     -70.314      44.992
     476.543    4961.231     -69.296      44.806
