UP.DAT          2.1             Hour Start and End Times with Seconds                           
   1
Produced by READ62 Version: 5.63  Level: 061020                                 
NONE    
UTC+0000
  1990    1    0    0 1990   15   12    0 500.    2    1
     F    F    F    F
   6201     14735    1990   1  1  0    0    1990   1  1  0    0   72      34
    992.0/  85./275.9/160/  8    977.0/ 212./276.0/179/ 14    966.0/ 304./999.9/185/ 20    950.0/ 443./278.6/189/ 19
    940.0/ 524./279.5/194/ 18    934.0/ 577./281.0/197/ 17    931.0/ 609./999.9/200/ 16    921.0/ 695./281.7/204/ 17
    908.0/ 810./281.4/213/ 17    900.0/ 890./281.0/219/ 17    897.0/ 914./999.9/220/ 16    868.0/1181./279.3/231/ 19
    864.0/1219./999.9/230/ 20    850.0/1361./279.0/237/ 21    822.0/1629./278.1/241/ 24    803.0/1827./999.9/240/ 23
    800.0/1856./276.9/241/ 24    773.0/2132./999.9/240/ 23    750.0/2377./273.9/240/ 23    747.0/2402./273.7/240/ 23
    744.0/2437./999.9/240/ 23    728.0/2610./273.2/240/ 23    716.0/2742./999.9/240/ 23    700.0/2931./271.9/240/ 24
    650.0/3520./268.7/239/ 23    639.0/3657./999.9/240/ 22    614.0/3962./999.9/235/ 23    600.0/4146./265.3/235/ 23
    591.0/4267./999.9/235/ 24    569.0/4548./263.0/240/ 28    550.0/4819./261.2/245/ 31    546.0/4875./999.9/245/ 32
    535.0/5023./259.7/248/ 34    500.0/5542./257.2/244/ 39
   6201     14735    1990   1  1 12    0    1990   1  1 12    0   66      35
    989.0/  85./275.8/290/  8    984.0/ 122./276.0/291/  9    950.0/ 413./273.6/294/ 19    945.0/ 451./273.2/294/ 22
    900.0/ 843./270.5/290/ 23    850.0/1294./267.2/282/ 23    829.0/1482./265.8/284/ 21    801.0/1758./264.9/286/ 18
    800.0/1768./264.9/286/ 18    768.0/2077./263.7/277/ 15    761.0/2148./263.7/274/ 14    754.0/2217./264.3/271/ 14
    751.0/2251./264.4/270/ 14    750.0/2268./264.3/270/ 14    728.0/2496./262.7/264/ 16    700.0/2797./261.8/263/ 19
    650.0/3363./258.5/260/ 32    646.0/3401./258.2/260/ 33    629.0/3601./257.4/254/ 37    622.0/3688./257.2/251/ 38
    612.0/3813./256.7/247/ 40    605.0/3895./256.7/244/ 41    601.0/3942./256.5/243/ 41    600.0/3966./256.4/243/ 41
    593.0/4041./256.0/239/ 40    578.0/4235./254.4/235/ 41    569.0/4350./253.7/234/ 42    550.0/4613./251.5/234/ 46
    541.0/4726./250.4/234/ 48    537.0/4786./250.4/234/ 49    535.0/4813./250.3/234/ 50    533.0/4838./250.5/234/ 51
    531.0/4867./250.9/234/ 51    523.0/4970./252.0/234/ 53    500.0/5315./252.3/234/ 62
   6201     14735    1990   1  2  0    0    1990   1  2  0    0   59      30
   1003.0/  85./269.7/290/ 10   1000.0/ 114./269.3/292/ 10    995.0/ 150./268.8/296/ 11    976.0/ 304./999.9/305/ 13
    950.0/ 516./265.4/306/ 14    938.0/ 609./999.9/305/ 13    902.0/ 910./261.5/317/ 16    900.0/ 933./261.4/318/ 17
    867.0/1219./999.9/330/ 20    850.0/1370./259.2/999/999    815.0/1687./257.0/999/999    808.0/1744./257.0/999/999
    800.0/1828./258.5/999/999    798.0/1840./258.8/999/999    792.0/1897./258.7/999/999    764.0/2170./257.4/999/999
    750.0/2316./257.8/999/999    736.0/2458./258.2/999/999    700.0/2836./256.8/999/999    676.0/3091./256.1/999/999
    650.0/3391./254.2/999/999    641.0/3486./253.5/999/999    623.0/3694./252.2/999/999    600.0/3981./249.9/999/999
    581.0/4206./248.0/999/999    574.0/4300./248.5/999/999    560.0/4475./248.0/999/999    550.0/4616./247.1/999/999
    526.0/4925./245.0/999/999    500.0/5300./244.5/300/ 22
   6201     14735    1990   1  2 12    0    1990   1  2 12    0   90      44
   1013.0/  85./269.9/ 90/  2   1008.0/ 129./270.0/259/  1   1000.0/ 193./269.3/266/  5    986.0/ 304./999.9/265/ 10
    980.0/ 346./268.7/269/ 11    959.0/ 522./267.8/277/ 12    950.0/ 597./267.1/280/ 12    949.0/ 609./999.9/280/ 12
    923.0/ 818./265.0/286/ 14    912.0/ 914./999.9/290/ 15    900.0/1018./263.3/289/ 16    888.0/1118./262.3/289/ 16
    876.0/1219./999.9/290/ 16    850.0/1456./260.4/292/ 19    837.0/1574./259.7/294/ 19    834.0/1601./260.9/295/ 20
    831.0/1626./261.8/296/ 20    825.0/1683./262.3/297/ 20    810.0/1827./999.9/300/ 21    800.0/1923./263.8/301/ 21
    796.0/1960./264.1/301/ 21    783.0/2084./266.6/303/ 21    778.0/2132./999.9/305/ 21    768.0/2240./266.7/302/ 20
    760.0/2315./267.9/302/ 20    753.0/2389./267.8/300/ 20    750.0/2427./268.2/300/ 20    749.0/2437./999.9/300/ 20
    741.0/2518./269.4/297/ 21    723.0/2711./269.3/292/ 21    720.0/2742./999.9/290/ 21    700.0/2971./267.6/288/ 22
    693.0/3047./999.9/285/ 22    650.0/3547./263.3/287/ 24    641.0/3657./999.9/290/ 24    617.0/3943./260.3/291/ 25
    607.0/4061./259.8/293/ 25    600.0/4160./259.1/294/ 25    592.0/4267./999.9/295/ 25    552.0/4785./254.2/296/ 26
    550.0/4814./254.1/296/ 26    545.0/4875./999.9/295/ 26    537.0/4988./253.1/293/ 26    500.0/5517./249.4/290/ 29
   6201     14735    1990   1  3  0    0    1990   1  3  0    0   57      41
   1011.0/  85./275.4/220/  4   1000.0/ 179./275.6/239/  5    988.0/ 275./275.8/254/  7    985.0/ 304./999.9/260/  8
    950.0/ 593./273.2/267/ 10    948.0/ 609./999.9/265/  9    913.0/ 914./999.9/280/ 14    900.0/1024./269.7/285/ 16
    878.0/1219./999.9/295/ 21    863.0/1353./267.0/293/ 21    855.0/1420./266.9/292/ 22    850.0/1472./268.4/292/ 22
    842.0/1542./269.6/291/ 23    833.0/1630./269.3/291/ 23    829.0/1662./269.3/291/ 23    812.0/1827./999.9/290/ 23
    800.0/1951./269.6/290/ 24    794.0/2002./269.7/291/ 24    781.0/2132./999.9/290/ 23    777.0/2175./271.0/292/ 23
    758.0/2376./271.3/293/ 22    752.0/2437./999.9/295/ 22    750.0/2463./271.1/294/ 22    736.0/2608./270.7/296/ 22
    724.0/2742./999.9/295/ 22    700.0/3008./267.5/295/ 23    696.0/3047./999.9/295/ 22    687.0/3146./266.2/294/ 23
    680.0/3228./265.6/294/ 24    665.0/3398./265.2/294/ 25    650.0/3584./264.7/296/ 27    644.0/3657./999.9/295/ 27
    616.0/3995./263.5/299/ 30    600.0/4204./262.1/299/ 32    595.0/4267./999.9/300/ 32    574.0/4539./259.8/301/ 34
    550.0/4866./257.7/300/ 34    549.0/4872./257.6/300/ 34    541.0/4980./257.1/299/ 35    527.0/5180./999.9/300/ 37
    500.0/5577./252.1/298/ 37
   6201     14735    1990   1  3 12    0    1990   1  3 12    0   82      39
   1015.0/  85./266.2/230/  2   1012.0/ 110./269.3/243/  2   1003.0/ 179./273.1/262/  4   1000.0/ 207./273.4/266/  5
    988.0/ 304./999.9/275/  8    965.0/ 485./272.2/286/  9    951.0/ 609./999.9/295/ 10    950.0/ 617./271.4/293/ 11
    940.0/ 695./270.9/297/ 12    915.0/ 914./999.9/300/ 14    905.0/1001./268.6/301/ 15    900.0/1044./269.1/300/ 15
    895.0/1087./269.7/300/ 16    882.0/1200./273.4/300/ 16    880.0/1219./999.9/300/ 15    850.0/1503./275.3/299/ 17
    816.0/1827./999.9/295/ 17    800.0/1990./273.5/292/ 18    794.0/2042./273.3/292/ 18    786.0/2132./999.9/290/ 18
    785.0/2140./272.5/291/ 18    775.0/2239./272.7/291/ 18    756.0/2437./999.9/290/ 19    750.0/2505./270.9/291/ 19
    747.0/2534./270.6/291/ 20    728.0/2742./999.9/295/ 21    727.0/2751./271.0/293/ 22    700.0/3052./269.1/294/ 25
    679.0/3287./268.3/294/ 27    674.0/3352./999.9/295/ 26    650.0/3632./266.2/293/ 27    648.0/3657./999.9/290/ 26
    605.0/4184./262.8/287/ 28    600.0/4253./262.3/287/ 29    599.0/4267./999.9/285/ 28    553.0/4875./999.9/285/ 26
    550.0/4915./257.2/284/ 27    509.0/5485./999.9/280/ 25    500.0/5625./251.6/279/ 26
   6201     14735    1990   1  4  0    0    1990   1  4  0    0   99      56
   1013.0/  85./275.7/170/  3   1009.0/ 115./276.0/179/  3   1000.0/ 193./277.2/198/  4    986.0/ 304./999.9/215/  6
    984.0/ 318./277.0/212/  6    967.0/ 463./277.7/224/  7    950.0/ 609./999.9/240/  7    915.0/ 914./999.9/255/  8
    912.0/ 937./274.4/254/  9    900.0/1047./274.3/258/  9    895.0/1092./275.2/260/  9    892.0/1118./275.8/261/  9
    889.0/1143./276.0/262/  9    883.0/1195./275.5/264/  9    881.0/1219./999.9/265/  9    863.0/1383./274.0/267/ 11
    850.0/1508./273.7/270/ 11    845.0/1551./273.9/270/ 11    842.0/1579./274.2/271/ 11    836.0/1633./274.9/272/ 12
    834.0/1660./274.7/272/ 12    826.0/1735./274.7/273/ 12    818.0/1814./274.6/274/ 13    817.0/1827./999.9/275/ 12
    809.0/1898./274.1/275/ 14    807.0/1925./273.8/275/ 14    804.0/1952./273.5/276/ 15    801.0/1977./273.3/276/ 15
    800.0/1996./273.1/276/ 15    799.0/2004./273.0/276/ 15    796.0/2028./273.0/276/ 15    789.0/2104./273.4/275/ 16
    786.0/2132./999.9/275/ 15    757.0/2437./999.9/270/ 19    750.0/2513./270.8/269/ 20    739.0/2625./270.0/270/ 21
    728.0/2742./999.9/270/ 21    720.0/2826./269.8/272/ 21    711.0/2930./269.9/275/ 21    700.0/3060./269.6/278/ 20
    695.0/3113./269.4/279/ 20    680.0/3286./268.3/281/ 20    675.0/3344./268.1/282/ 20    668.0/3427./268.5/283/ 19
    650.0/3642./267.6/287/ 18    649.0/3657./999.9/290/ 16    643.0/3724./267.2/289/ 18    634.0/3830./267.4/291/ 17
    623.0/3968./266.8/290/ 16    600.0/4267./999.9/285/ 14    580.0/4519./262.2/283/ 14    576.0/4572./999.9/280/ 13
    554.0/4875./999.9/285/ 15    550.0/4935./259.8/283/ 17    549.0/4943./259.7/283/ 17    500.0/5652./253.6/286/ 19
   6201     14735    1990   1  4 12    0    1990   1  4 12    0   84      45
   1008.0/  85./275.3/150/  4   1005.0/ 115./275.9/155/  4   1000.0/ 155./275.8/159/  4    984.0/ 280./275.6/181/  4
    981.0/ 304./999.9/180/  5    974.0/ 367./278.3/191/  5    961.0/ 472./279.4/219/  5    950.0/ 574./279.2/236/  6
    946.0/ 604./279.1/245/  7    945.0/ 609./999.9/250/  6    923.0/ 803./277.7/265/  8    911.0/ 914./999.9/275/  8
    900.0/1014./276.4/274/  9    888.0/1117./275.7/274/ 10    877.0/1219./999.9/275/  9    850.0/1476./275.3/264/ 12
    825.0/1712./273.2/258/ 13    813.0/1827./999.9/255/ 13    800.0/1964./271.2/249/ 16    792.0/2041./270.5/247/ 17
    789.0/2067./270.7/247/ 17    784.0/2119./271.1/247/ 18    783.0/2132./999.9/245/ 18    776.0/2201./271.7/246/ 20
    765.0/2312./272.9/246/ 22    755.0/2419./272.3/247/ 24    753.0/2437./999.9/245/ 24    750.0/2477./272.1/248/ 24
    725.0/2742./999.9/250/ 28    700.0/3025./269.4/249/ 29    698.0/3047./999.9/250/ 29    678.0/3273./268.7/250/ 28
    677.0/3279./268.6/254/ 28    666.0/3409./268.6/258/ 28    660.0/3485./270.0/260/ 30    651.0/3589./270.2/262/ 31
    650.0/3611./270.1/262/ 31    646.0/3657./999.9/265/ 31    606.0/4160./266.0/259/ 28    600.0/4238./265.6/259/ 28
    598.0/4267./999.9/260/ 28    559.0/4781./262.8/262/ 31    552.0/4875./999.9/265/ 30    550.0/4911./261.8/263/ 30
    500.0/5633./256.0/262/ 29
   6201     14735    1990   1  5  0    0    1990   1  5  0    0   57      23
    996.0/  85./278.9/170/  8    979.0/ 227./278.6/202/ 10    964.0/ 351./280.9/217/ 13    950.0/ 478./281.4/232/ 14
    943.0/ 539./281.7/242/ 14    901.0/ 914./278.8/259/ 22    900.0/ 924./278.8/259/ 22    861.0/1280./277.3/263/ 28
    850.0/1389./276.3/264/ 29    843.0/1450./276.2/265/ 30    832.0/1558./275.6/265/ 31    804.0/1833./273.3/264/ 33
    800.0/1877./273.0/264/ 33    751.0/2372./269.3/262/ 33    750.0/2390./269.3/262/ 33    700.0/2932./266.7/264/ 34
    679.0/3160./265.5/263/ 36    650.0/3509./263.6/258/ 37    600.0/4124./260.6/252/ 40    599.0/4130./260.5/252/ 40
    561.0/4622./256.8/251/ 41    550.0/4780./256.0/249/ 42    500.0/5490./252.2/246/ 49
   6201     14735    1990   1  5 12    0    1990   1  5 12    0   79      42
   1007.0/  85./276.0/270/  6   1004.0/ 109./275.8/274/  7   1000.0/ 145./275.5/280/  8    980.0/ 304./999.9/290/ 13
    966.0/ 419./273.1/293/ 13    957.0/ 494./272.4/296/ 14    950.0/ 557./272.0/298/ 14    944.0/ 609./999.9/300/ 13
    908.0/ 914./999.9/315/ 12    900.0/ 985./269.1/317/ 12    883.0/1134./268.0/324/ 12    874.0/1219./999.9/330/ 12
    850.0/1433./265.3/329/ 13    836.0/1560./264.4/328/ 14    824.0/1666./263.8/326/ 15    812.0/1785./264.0/324/ 17
    807.0/1827./999.9/325/ 17    806.0/1837./263.9/323/ 18    800.0/1903./263.5/322/ 19    776.0/2132./999.9/315/ 20
    771.0/2183./261.3/315/ 21    765.0/2242./261.8/314/ 21    762.0/2272./263.1/313/ 21    756.0/2329./264.3/312/ 21
    750.0/2400./264.5/311/ 21    746.0/2437./999.9/310/ 20    733.0/2568./265.1/308/ 20    717.0/2742./999.9/305/ 20
    711.0/2808./264.1/305/ 20    700.0/2933./264.5/303/ 21    691.0/3028./264.7/302/ 21    650.0/3506./261.9/296/ 25
    637.0/3657./999.9/295/ 24    624.0/3817./259.9/289/ 24    600.0/4116./258.0/285/ 26    594.0/4179./257.5/283/ 27
    587.0/4267./999.9/280/ 26    564.0/4572./999.9/275/ 26    550.0/4767./252.9/277/ 29    542.0/4875./999.9/275/ 29
    531.0/5016./250.9/277/ 30    500.0/5465./248.3/275/ 32
   6201     14735    1990   1  6  0    0    1990   1  6  0    0   74      34
   1012.0/  85./273.4/290/  4   1008.0/ 111./273.8/293/  5   1000.0/ 181./273.7/298/  6    993.0/ 233./273.2/300/  8
    984.0/ 304./999.9/305/ 10    950.0/ 590./270.1/296/ 10    948.0/ 609./999.9/295/  9    912.0/ 914./999.9/280/  9
    900.0/1016./266.3/277/  9    886.0/1136./265.1/270/  9    877.0/1219./999.9/265/  8    850.0/1458./262.9/257/  8
    843.0/1522./262.6/259/  8    824.0/1689./263.1/265/  8    818.0/1748./265.5/268/  9    810.0/1827./999.9/270/  8
    801.0/1911./265.7/276/ 10    800.0/1926./265.7/276/ 10    779.0/2132./999.9/280/ 10    778.0/2141./265.8/279/ 11
    750.0/2428./264.7/281/ 13    749.0/2437./999.9/280/ 12    733.0/2600./264.0/280/ 14    720.0/2742./999.9/280/ 15
    700.0/2963./264.0/279/ 18    667.0/3325./261.9/277/ 21    650.0/3532./261.6/273/ 24    639.0/3655./261.3/270/ 26
    614.0/3962./999.9/265/ 26    600.0/4142./257.7/263/ 26    590.0/4267./999.9/265/ 26    550.0/4793./252.8/266/ 28
    544.0/4875./999.9/265/ 29    500.0/5491./247.4/268/ 34
   6201     14735    1990   1  6 12    0    1990   1  6 12    0   89      50
   1007.0/  85./268.6/170/  3   1004.0/ 110./269.3/171/  3   1000.0/ 144./269.4/173/  4    989.0/ 232./270.1/176/  5
    980.0/ 304./999.9/175/  5    973.0/ 356./269.9/180/  6    964.0/ 431./269.3/186/  6    954.0/ 510./268.9/192/  6
    950.0/ 551./268.8/194/  6    943.0/ 609./999.9/200/  6    942.0/ 615./268.5/203/  6    907.0/ 914./999.9/240/  7
    900.0/ 975./266.7/254/  9    872.0/1219./999.9/265/  9    854.0/1379./264.6/266/  9    851.0/1406./264.7/266/  9
    850.0/1420./265.4/265/  9    845.0/1460./266.9/265/  9    840.0/1511./267.2/265/  8    826.0/1640./266.5/264/  8
    806.0/1827./999.9/260/  9    804.0/1852./265.1/260/  9    800.0/1892./264.9/260/  9    776.0/2132./999.9/260/ 10
    750.0/2390./262.0/259/ 13    746.0/2429./261.7/259/ 13    745.0/2437./999.9/260/ 12    723.0/2664./260.0/261/ 14
    716.0/2742./999.9/260/ 13    714.0/2765./259.2/264/ 15    709.0/2816./258.9/266/ 16    700.0/2917./258.6/268/ 17
    690.0/3022./258.7/269/ 19    650.0/3477./257.8/268/ 26    638.0/3614./257.5/267/ 28    634.0/3657./999.9/265/ 29
    607.0/3986./255.1/267/ 30    600.0/4079./254.4/266/ 30    594.0/4153./253.7/266/ 30    584.0/4267./999.9/265/ 30
    582.0/4295./253.0/264/ 30    578.0/4347./253.3/264/ 31    570.0/4458./253.4/263/ 33    550.0/4725./252.0/262/ 36
    549.0/4728./251.9/262/ 36    541.0/4839./251.3/261/ 37    538.0/4875./999.9/260/ 37    526.0/5052./249.8/261/ 39
    520.0/5129./249.7/261/ 39    500.0/5423./247.5/261/ 42
   6201     14735    1990   1  7  0    0    1990   1  7  0    0   66      30
   1005.0/  85./274.3/280/  5   1000.0/ 132./274.0/287/  6    982.0/ 273./273.2/300/ 12    963.0/ 433./271.5/304/ 17
    950.0/ 542./270.6/305/ 17    932.0/ 691./269.2/305/ 17    919.0/ 803./268.5/305/ 18    900.0/ 970./267.0/304/ 18
    876.0/1178./265.1/306/ 19    865.0/1273./264.2/306/ 19    850.0/1413./263.1/306/ 20    839.0/1507./262.3/306/ 20
    820.0/1680./260.9/306/ 21    801.0/1863./259.4/307/ 22    800.0/1876./259.4/307/ 22    796.0/1908./259.5/308/ 22
    794.0/1932./259.8/308/ 22    791.0/1958./260.1/999/999    784.0/2029./260.4/999/999    750.0/2370./260.1/999/999
    740.0/2466./260.0/999/999    700.0/2892./257.2/999/999    650.0/3451./256.9/999/999    643.0/3524./256.8/999/999
    612.0/3907./260.7/999/999    600.0/4058./260.1/999/999    590.0/4175./259.6/999/999    577.0/4352./260.0/999/999
    550.0/4719./256.9/999/999    500.0/5426./250.6/305/ 40
   6201     14735    1990   1  7 12    0    1990   1  7 12    0   83      45
   1009.0/  85./265.7/280/  2   1006.0/ 114./267.0/281/  2   1000.0/ 161./267.7/282/  3    950.0/ 562./265.7/284/  7
    930.0/ 720./264.8/999/999    902.0/ 961./263.2/285/ 11    900.0/ 980./263.4/285/ 11    896.0/1012./263.9/285/ 11
    893.0/1037./265.4/285/ 11    890.0/1063./266.2/284/ 11    881.0/1139./267.2/284/ 11    873.0/1219./999.9/285/ 11
    865.0/1289./268.7/284/ 12    850.0/1428./268.7/285/ 14    834.0/1577./269.3/286/ 15    808.0/1827./999.9/285/ 16
    800.0/1907./269.3/284/ 18    790.0/2006./269.3/283/ 18    779.0/2115./270.0/282/ 19    777.0/2132./999.9/280/ 19
    750.0/2418./268.5/280/ 21    748.0/2437./999.9/280/ 21    737.0/2555./267.7/278/ 21    721.0/2719./266.8/277/ 20
    719.0/2742./999.9/275/ 20    716.0/2774./266.4/277/ 20    700.0/2957./265.4/279/ 20    686.0/3113./264.6/282/ 20
    666.0/3338./264.7/285/ 23    650.0/3531./263.6/284/ 25    644.0/3600./263.1/283/ 26    639.0/3657./999.9/280/ 26
    619.0/3903./262.1/277/ 28    614.0/3962./999.9/280/ 27    613.0/3978./262.4/276/ 28    600.0/4146./261.6/272/ 28
    599.0/4160./261.5/272/ 28    590.0/4267./999.9/270/ 27    586.0/4323./260.3/273/ 28    571.0/4523./259.1/274/ 28
    550.0/4809./256.8/275/ 27    545.0/4865./256.3/274/ 28    544.0/4875./999.9/275/ 27    530.0/5074./255.2/274/ 29
    500.0/5520./252.1/274/ 29
   6201     14735    1990   1  8  0    0    1990   1  8  0    0   91      48
   1002.0/  85./275.5/170/  4   1000.0/ 104./275.6/179/  4    986.0/ 210./275.2/200/  7    975.0/ 304./999.9/205/  8
    972.0/ 328./276.7/210/  9    950.0/ 519./275.5/230/ 10    939.0/ 609./999.9/245/ 11    912.0/ 841./273.3/260/ 13
    904.0/ 914./999.9/265/ 13    900.0/ 953./272.5/266/ 14    870.0/1219./999.9/280/ 16    850.0/1407./268.9/286/ 18
    837.0/1524./999.9/285/ 17    834.0/1547./268.1/288/ 19    825.0/1635./267.8/288/ 19    805.0/1827./999.9/285/ 19
    804.0/1839./267.9/287/ 20    800.0/1882./267.7/286/ 20    782.0/2058./266.6/283/ 20    775.0/2132./999.9/280/ 20
    764.0/2239./266.4/279/ 21    755.0/2325./267.3/277/ 22    753.0/2353./267.6/277/ 22    750.0/2386./267.6/277/ 22
    747.0/2409./267.7/277/ 23    745.0/2437./999.9/275/ 22    739.0/2494./268.5/276/ 23    732.0/2570./268.2/276/ 24
    728.0/2621./268.0/276/ 24    717.0/2742./999.9/280/ 24    708.0/2834./266.2/280/ 26    700.0/2927./266.5/280/ 26
    691.0/3021./266.3/281/ 27    689.0/3047./999.9/280/ 27    650.0/3503./262.3/276/ 27    637.0/3657./999.9/275/ 25
    633.0/3703./260.5/272/ 26    610.0/3979./260.0/271/ 27    600.0/4113./259.1/272/ 28    588.0/4267./999.9/270/ 29
    561.0/4610./255.7/275/ 31    550.0/4769./254.4/276/ 31    542.0/4875./999.9/275/ 31    529.0/5045./252.0/276/ 31
