              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     -79.847     -54.141     -78.012      18.996
     -70.751     -54.383     -77.925      18.995
     -61.643     -54.631     -77.839      18.993
     -52.547     -54.874     -77.752      18.992
     -43.450     -55.124     -77.666      18.991
     -34.342     -55.380     -77.579      18.989
     -25.245     -55.631     -77.493      18.988
     -16.147     -55.878     -77.407      18.986
      -7.049     -56.130     -77.320      18.985
       2.048     -56.389     -77.234      18.983
      11.157     -56.643     -77.147      18.981
      20.255     -56.893     -77.061      18.979
      29.353     -57.148     -76.975      18.978
      38.452     -57.410     -76.888      18.976
      47.550     -57.667     -76.802      18.974
      56.650     -57.931     -76.715      18.972
      65.749     -58.189     -76.629      18.970
      74.848     -58.443     -76.543      18.968
      83.948     -58.714     -76.456      18.966
      93.049     -58.970     -76.370      18.963
     102.148     -59.242     -76.283      18.961
     111.249     -59.499     -76.197      18.959
     120.349     -59.774     -76.111      18.957
     129.440     -60.043     -76.024      18.954
     138.542     -60.308     -75.938      18.952
     147.643     -60.578     -75.852      18.949
     156.745     -60.845     -75.765      18.947
     165.836     -61.117     -75.679      18.944
     174.939     -61.396     -75.592      18.941
     184.042     -61.670     -75.506      18.939
     193.135     -61.939     -75.420      18.936
     202.238     -62.215     -75.333      18.933
     211.331     -62.496     -75.247      18.930
     220.436     -62.773     -75.161      18.927
     229.529     -63.045     -75.074      18.925
     238.624     -63.324     -74.988      18.922
     247.729     -63.609     -74.902      18.919
     256.824     -63.889     -74.815      18.915
     265.920     -64.175     -74.729      18.912
     275.015     -64.457     -74.643      18.909
     284.122     -64.744     -74.556      18.906
     293.218     -65.028     -74.470      18.902
     302.316     -65.317     -74.384      18.899
     311.413     -65.602     -74.297      18.896
     320.511     -65.893     -74.211      18.892
     329.608     -66.179     -74.125      18.889
     338.707     -66.471     -74.038      18.885
     347.796     -66.759     -73.952      18.881
     -79.599     -45.099     -78.010      19.077
     -70.497     -45.341     -77.924      19.076
     -61.395     -45.589     -77.837      19.075
     -52.303     -45.832     -77.751      19.074
     -43.200     -46.081     -77.664      19.072
     -34.097     -46.326     -77.578      19.071
     -24.994     -46.577     -77.492      19.069
     -15.891     -46.835     -77.405      19.068
      -6.798     -47.087     -77.319      19.066
       2.306     -47.335     -77.232      19.065
      11.410     -47.589     -77.146      19.063
      20.514     -47.849     -77.059      19.061
      29.607     -48.105     -76.973      19.059
      38.711     -48.367     -76.886      19.057
      47.816     -48.624     -76.800      19.056
      56.910     -48.876     -76.713      19.054
      66.015     -49.145     -76.627      19.052
      75.110     -49.399     -76.540      19.049
      84.215     -49.670     -76.454      19.047
      93.311     -49.925     -76.368      19.045
     102.417     -50.198     -76.281      19.043
     111.512     -50.455     -76.195      19.041
     120.619     -50.729     -76.108      19.038
     129.716     -50.998     -76.022      19.036
     138.812     -51.263     -75.935      19.034
     147.919     -51.533     -75.849      19.031
     157.017     -51.799     -75.762      19.028
     166.114     -52.072     -75.676      19.026
     175.212     -52.350     -75.590      19.023
     184.310     -52.624     -75.503      19.021
     193.418     -52.893     -75.417      19.018
     202.517     -53.168     -75.330      19.015
     211.617     -53.450     -75.244      19.012
     220.716     -53.727     -75.158      19.009
     229.816     -53.999     -75.071      19.006
     238.905     -54.288     -74.985      19.003
     248.006     -54.562     -74.898      19.000
     257.107     -54.842     -74.812      18.997
     266.207     -55.128     -74.726      18.994
     275.309     -55.409     -74.639      18.991
     284.400     -55.697     -74.553      18.987
     293.503     -55.980     -74.466      18.984
     302.606     -56.269     -74.380      18.981
     311.698     -56.553     -74.294      18.977
     320.802     -56.844     -74.207      18.974
     329.895     -57.141     -74.121      18.970
     339.000     -57.422     -74.035      18.967
     348.094     -57.720     -73.948      18.963
     -79.352     -36.046     -78.009      19.159
     -70.255     -36.298     -77.923      19.158
     -61.157     -36.535     -77.836      19.157
     -52.048     -36.790     -77.749      19.155
     -42.951     -37.039     -77.663      19.154
     -33.842     -37.284     -77.576      19.153
     -24.743     -37.535     -77.490      19.151
     -15.645     -37.792     -77.403      19.149
      -6.536     -38.044     -77.317      19.148
       2.563     -38.292     -77.230      19.146
      11.662     -38.546     -77.144      19.145
      20.761     -38.806     -77.057      19.143
      29.871     -39.062     -76.971      19.141
      38.971     -39.312     -76.884      19.139
      48.071     -39.569     -76.798      19.137
      57.171     -39.832     -76.711      19.135
      66.271     -40.091     -76.625      19.133
      75.371     -40.355     -76.538      19.131
      84.483     -40.615     -76.452      19.129
      93.584     -40.881     -76.365      19.127
     102.685     -41.143     -76.279      19.125
     111.786     -41.410     -76.192      19.122
     120.878     -41.684     -76.106      19.120
     129.979     -41.942     -76.019      19.118
     139.082     -42.218     -75.933      19.115
     148.185     -42.489     -75.846      19.113
     157.288     -42.754     -75.760      19.110
     166.390     -43.027     -75.673      19.108
     175.494     -43.305     -75.587      19.105
     184.588     -43.579     -75.500      19.102
     193.691     -43.847     -75.414      19.100
     202.796     -44.122     -75.327      19.097
     211.891     -44.404     -75.241      19.094
     220.995     -44.680     -75.154      19.091
     230.091     -44.963     -75.068      19.088
     239.197     -45.242     -74.981      19.085
     248.292     -45.515     -74.895      19.082
     257.388     -45.806     -74.809      19.079
     266.495     -46.080     -74.722      19.076
     275.592     -46.362     -74.636      19.072
     284.689     -46.649     -74.549      19.069
     293.798     -46.943     -74.463      19.066
     302.895     -47.220     -74.377      19.062
     311.994     -47.516     -74.290      19.059
     321.093     -47.806     -74.204      19.055
     330.192     -48.092     -74.117      19.052
     339.292     -48.384     -74.031      19.048
     348.391     -48.671     -73.945      19.045
     -79.115     -27.004     -78.008      19.241
     -70.012     -27.245     -77.921      19.240
     -60.909     -27.493     -77.835      19.239
     -51.805     -27.736     -77.748      19.237
     -42.701     -27.986     -77.661      19.236
     -33.597     -28.241     -77.575      19.234
     -24.493     -28.492     -77.488      19.233
     -15.389     -28.738     -77.402      19.231
      -6.285     -28.991     -77.315      19.230
       2.820     -29.249     -77.229      19.228
      11.925     -29.503     -77.142      19.226
      21.019     -29.752     -77.055      19.225
      30.124     -30.008     -76.969      19.223
      39.229     -30.269     -76.882      19.221
      48.335     -30.526     -76.796      19.219
      57.431     -30.789     -76.709      19.217
      66.537     -31.047     -76.622      19.215
      75.643     -31.312     -76.536      19.213
      84.739     -31.572     -76.449      19.211
      93.845     -31.838     -76.363      19.209
     102.942     -32.099     -76.276      19.206
     112.050     -32.366     -76.190      19.204
     121.156     -32.629     -76.103      19.202
     130.254     -32.898     -76.017      19.199
     139.352     -33.173     -75.930      19.197
     148.460     -33.433     -75.843      19.194
     157.558     -33.709     -75.757      19.192
     166.667     -33.981     -75.670      19.189
     175.766     -34.249     -75.584      19.187
     184.865     -34.533     -75.497      19.184
     193.965     -34.802     -75.411      19.181
     203.064     -35.077     -75.324      19.178
     212.175     -35.358     -75.238      19.176
     221.275     -35.634     -75.151      19.173
     230.376     -35.917     -75.065      19.170
     239.477     -36.195     -74.978      19.167
     248.579     -36.468     -74.892      19.164
     257.681     -36.759     -74.805      19.160
     266.782     -37.033     -74.719      19.157
     275.875     -37.326     -74.632      19.154
     284.978     -37.602     -74.546      19.151
     294.081     -37.895     -74.459      19.147
     303.185     -38.173     -74.373      19.144
     312.279     -38.468     -74.286      19.141
     321.383     -38.758     -74.200      19.137
     330.488     -39.043     -74.114      19.134
     339.583     -39.335     -74.027      19.130
     348.689     -39.633     -73.941      19.126
     -78.868     -17.951     -78.007      19.323
     -69.759     -18.192     -77.920      19.322
     -60.660     -18.440     -77.833      19.320
     -51.551     -18.683     -77.747      19.319
     -42.452     -18.932     -77.660      19.318
     -33.343     -19.188     -77.573      19.316
     -24.243     -19.439     -77.487      19.315
