"Xkm" "Ykm" "Elev"
 338.500000 4859.50000 488.100006
 339.500000 4859.50000 502.299988
 340.500000 4859.50000 460.799988
 341.500000 4859.50000 513.099976
 342.500000 4859.50000 412.899994
 343.500000 4859.50000 349.700012
 344.500000 4859.50000 195.399994
 345.500000 4859.50000 157.399994
 346.500000 4859.50000 181.300003
 347.500000 4859.50000 212.600006
 348.500000 4859.50000 231.100006
 349.500000 4859.50000 237.000000
 350.500000 4859.50000 265.399994
 351.500000 4859.50000 248.300003
 352.500000 4859.50000 238.100006
 353.500000 4859.50000 304.100006
 354.500000 4859.50000 311.500000
 355.500000 4859.50000 290.200012
 356.500000 4859.50000 372.299988
 357.500000 4859.50000 419.500000
 338.500000 4860.50000 372.799988
 339.500000 4860.50000 352.200012
 340.500000 4860.50000 330.899994
 341.500000 4860.50000 383.500000
 342.500000 4860.50000 292.299988
 343.500000 4860.50000 270.700012
 344.500000 4860.50000 179.600006
 345.500000 4860.50000 157.500000
 346.500000 4860.50000 189.800003
 347.500000 4860.50000 177.199997
 348.500000 4860.50000 199.199997
 349.500000 4860.50000 196.800003
 350.500000 4860.50000 201.100006
 351.500000 4860.50000 208.800003
 352.500000 4860.50000 241.699997
 353.500000 4860.50000 250.699997
 354.500000 4860.50000 243.600006
 355.500000 4860.50000 308.899994
 356.500000 4860.50000 433.899994
 357.500000 4860.50000 436.700012
 338.500000 4861.50000 340.200012
 339.500000 4861.50000 298.700012
 340.500000 4861.50000 263.299988
 341.500000 4861.50000 261.600006
 342.500000 4861.50000 215.600006
 343.500000 4861.50000 208.399994
 344.500000 4861.50000 169.199997
 345.500000 4861.50000 154.000000
 346.500000 4861.50000 160.699997
 347.500000 4861.50000 156.300003
 348.500000 4861.50000 164.899994
 349.500000 4861.50000 183.399994
 350.500000 4861.50000 207.100006
 351.500000 4861.50000 249.199997
 352.500000 4861.50000 246.000000
 353.500000 4861.50000 261.899994
 354.500000 4861.50000 255.000000
 355.500000 4861.50000 266.299988
 356.500000 4861.50000 399.500000
 357.500000 4861.50000 454.600006
 338.500000 4862.50000 342.399994
 339.500000 4862.50000 283.600006
 340.500000 4862.50000 237.699997
 341.500000 4862.50000 185.699997
 342.500000 4862.50000 170.899994
 343.500000 4862.50000 158.000000
 344.500000 4862.50000 154.300003
 345.500000 4862.50000 154.000000
 346.500000 4862.50000 154.000000
 347.500000 4862.50000 154.100006
 348.500000 4862.50000 172.399994
 349.500000 4862.50000 177.800003
 350.500000 4862.50000 199.100006
 351.500000 4862.50000 215.399994
 352.500000 4862.50000 277.500000
 353.500000 4862.50000 263.700012
 354.500000 4862.50000 248.199997
 355.500000 4862.50000 257.500000
 356.500000 4862.50000 330.000000
 357.500000 4862.50000 349.700012
 338.500000 4863.50000 372.200012
 339.500000 4863.50000 232.500000
 340.500000 4863.50000 220.199997
 341.500000 4863.50000 171.100006
 342.500000 4863.50000 158.199997
 343.500000 4863.50000 154.000000
 344.500000 4863.50000 154.000000
 345.500000 4863.50000 154.000000
 346.500000 4863.50000 154.000000
 347.500000 4863.50000 154.000000
 348.500000 4863.50000 154.000000
 349.500000 4863.50000 154.100006
 350.500000 4863.50000 181.699997
 351.500000 4863.50000 201.199997
 352.500000 4863.50000 202.100006
 353.500000 4863.50000 211.800003
 354.500000 4863.50000 223.800003
 355.500000 4863.50000 245.899994
 356.500000 4863.50000 275.100006
 357.500000 4863.50000 309.399994
 338.500000 4864.50000 287.600006
 339.500000 4864.50000 183.300003
 340.500000 4864.50000 155.199997
 341.500000 4864.50000 154.000000
